Pair_Inj,Pair_Prod,Pair_Inj_Alloc,Pair_IE,Pair_Inj_Rate,Pair_Prod_Rate,Pair_VRR,Completion_ID,TAU,TAUP,WCUT,VP,KVAL,FO,WO,J,Pair_RE,Pair_Prod_Alloc,IE_Times_Prod,RE_Times_Inj,Pair_RE_Norm,Dopt_IE,Pair_Weight,Updated_Injection_Rate,Delta_Injection,Updated_Production_Rate,Updated_Oil_Production_Rate,Delta_Oil,Delta_WH
I1,P1,0.3861606887905973,0.100231734033834,989.3436846815102,989.3436846815102,0.9999898923912096,WARA1,0.9538164008232398,0.9762405707687912,0.8242611235570098,110000.00000000016,45.0,0.01,0.0,0.0,1.0,0.3861606887905973,99.16363307105046,989.3436846815102,1.0,0.41839575058892253,1.1750550041108678,1162.533247470493,173.1895627889828,1162.533247470493,116.52272326595178,17.359090194901327,155.83047259408147
I2,P1,0.4121978080999902,0.0432636833610917,427.0369291915898,427.0369291915898,0.9999765833698444,WARA1,2.0,0.9762405707687912,0.8242611235570098,110000.00000000016,45.0,0.01,0.0,0.0,1.0,0.4121978080999902,18.47519048803788,427.0369291915898,1.0,0.3877685024038105,0.8496355885435061,362.82577266350796,-64.21115652808186,362.82577266350796,15.697179343757451,-2.7780111442804305,-61.433145383801445
I3,P1,0.2316303540863486,0.0322433577367248,318.260106514643,318.260106514643,0.9999685801468774,WARA1,0.1,0.9762405707687912,0.8242611235570098,110000.00000000016,45.0,0.01,0.0,0.0,1.0,0.2316303540863486,10.261774467679773,318.260106514643,1.0,0.5437189425152407,0.7043697115501084,224.17277942362585,-94.08732709101713,224.17277942362585,7.228083121791869,-3.0336913458879042,-91.05363574512921
I1,P2,0.1654893275671614,0.0325534077785715,423.9836572270675,423.9836572270675,0.999976414741519,WARA1,0.1,1.9181725721243552,0.8404977297653249,110000.00000000016,45.0,0.0084468328915601,0.0,0.0,1.0,0.1654893275671614,13.802112885162812,423.9836572270675,1.0,0.5393313733879139,0.7091216696795066,300.65599892968174,-123.32765829738577,300.65599892968174,9.787377334231685,-4.014735550931126,-119.31292274645466
I3,P2,0.4355258166912524,0.0459460285628914,598.4124721337809,598.4124721337809,0.9999832893975984,WARA1,1.9999999999981344,1.9181725721243552,0.8404977297653249,110000.00000000016,45.0,0.0084468328915601,0.0,0.0,1.0,0.4355258166912524,27.49467653704915,598.4124721337809,1.0,0.34981019436375405,0.8776328279191926,525.1864301808852,-73.22604195289568,525.1864301808852,24.130230721933916,-3.364445815115232,-69.86159613778045
I4,P2,1.0,0.0810027571133475,1055.0,1055.0,0.9999905214168586,WARA1,2.0,1.9181725721243552,0.8404977297653249,110000.00000000016,45.0,0.0084468328915601,0.0,0.0,1.0,1.0,85.45790875458162,1055.0,1.0,0.14628333614157943,1.0213988144327104,1077.5757492265095,22.575749226509515,1077.5757492265095,87.28660668582842,1.8286979312467935,20.747051295262622
I2,P3,0.2088150892095116,0.0223942119420809,216.332432421054,216.332432421054,0.999953776982684,WARA1,2.0,1.6308477530203809,0.8186258760544148,110000.00000000016,45.0,0.01,0.0,0.0,1.0,0.2088150892095116,4.844594341582977,216.332432421054,1.0,0.6830958242654656,0.5333800948710842,115.38741332843419,-100.9450190926198,115.38741332843419,2.5840101895254457,-2.260584152057531,-98.68443494056226
I3,P3,0.686499801788886,0.0976430416525837,943.2507276579294,943.2507276579294,0.9999893984773172,WARA1,2.0,1.6308477530203809,0.8186258760544148,110000.00000000016,45.0,0.01,0.0,0.0,1.0,0.686499801788886,92.10187008953308,943.2507276579294,1.0,0.3817627390128891,1.1457427888986234,1080.7227193374517,137.47199167952238,1080.7227193374517,105.52505349916034,13.423183409627256,124.04880826989518
I5,P3,0.4146431550320129,0.0613367668333309,592.5250685407464,592.5250685407464,0.9999831233617538,WARA1,0.5559200044821495,1.6308477530203809,0.8186258760544148,110000.00000000016,45.0,0.01,0.0,0.0,1.0,0.4146431550320129,36.34357197198717,592.5250685407464,1.0,0.13201332621969153,0.9825724817004133,582.1988270657887,-10.32624147495767,582.1988270657887,35.71019370637302,-0.633378265614148,-9.6928632093435
I3,P4,0.4989218768146731,0.0739621947569206,685.5186587433608,685.5186587433608,0.9999854127178018,WARA1,1.9999656521098024,1.9999999850988344,0.7955881432106067,141444.8429971343,44.99749051145375,0.0,0.0,0.0,1.0,0.4989218768146731,50.702464547479444,685.5186587433608,1.0,0.0466511804737817,1.0021763326395974,687.0105753754369,1.4919166320761406,687.0105753754369,50.812809975982155,0.11034542850271123,1.381571203573344
I4,P4,0.7725984327981221,0.0879420919520566,815.0913466020188,815.0913466020188,0.9999877315869472,WARA1,1.776862564920766,1.9999999850988344,0.7955881432106067,141444.8429971343,44.99749051145375,0.0,0.0,0.0,1.0,0.7725984327981221,71.68083815220038,815.0913466020188,1.0,0.24448300456012798,1.0597719395187475,863.8109372733691,48.71959067135026,863.8109372733691,75.96534087488683,4.2845027226864545,44.43508794866386
I5,P4,0.2757036010089747,0.0425074621881014,393.9804458418248,393.9804458418248,0.999974618673865,WARA1,0.3879328176225244,1.9999999850988344,0.7955881432106067,141444.8429971343,44.99749051145375,0.0,0.0,0.0,1.0,0.2757036010089747,16.7471089044727,393.9804458418248,1.0,0.398469912577087,0.8412217287708086,331.4249117529538,-62.55553408887101,331.4249117529538,14.088031904533526,-2.659076999939174,-59.89645708893181
