Pair_Inj,Pair_Prod,Pair_Inj_Alloc,Pair_Prod_Alloc,Pair_IE,Pair_RE,Pair_VRR,Pair_Inj_Rate,Pair_Prod_Rate
I1,P1,0.96,0.49,0.05,0.056,1.016,1310,1289
I1,P2,0.04,0.09,0.287,0.72,0.965,49,51
I2,P1,0.72,0.45,0.034,0.055,1.011,1180,1167
I2,P3,0.27,0.58,0.024,0.009,1.017,447,440
I2,P4,0.01,0,0.157,1,1.018,17,17
I3,P2,0.16,0.17,0.044,0.111,0.979,150,153
I3,P1,0.09,0.06,0.32,0.116,0.934,84,90
I3,P4,0.75,0.32,0.079,0.014,0.987,693,702
I4,P2,0.42,0.74,0.315,0.277,0.969,379,391
I4,P4,0.58,0.24,0.096,0.112,1.023,532,520
I5,P4,0.25,0.42,0.024,0.019,1.004,314,313
I5,P3,0.75,0.44,0.093,0.074,1.008,962,954
