Well,Flow_Rate,Type,Completion_ID,Min_Econ_Rate,Max_Rate
BG-0246_P,1848.9402294088693,PROD,MW,0.1,25896.3
BG-0248_P,284.02889285201485,PROD,MW,0.1,25896.3
BG-0879_P,1031.763953416043,PROD,MW,0.1,25896.3
BG-1415_P,1468.7540328112575,PROD,MW,0.1,25896.3
BG-1923_P,1219.710784235283,PROD,MW,0.1,25896.3
BG-2048_P,986.0924320611066,PROD,MW,0.1,25896.3
BG-2054_P,1113.0034476639405,PROD,MW,0.1,25896.3
BG-2058_P,1895.7493801139408,PROD,MW,0.1,25896.3
BG-2056_I,1330.5838,INJ,MW,0.1,5896.3
BG-2059_I,1782.746,INJ,MW,0.1,5896.3
BG-1693_I,3171.7938,INJ,MW,0.1,5896.3
BG-2051_I,736.79865,INJ,MW,0.1,5896.3
BG-0749_I,437.9826499999999,INJ,MW,0.1,5896.3
BG-0779_I,302.15534999999994,INJ,MW,0.1,5896.3
BG-2055_I,432.40015,INJ,MW,0.1,5896.3
